status.screen.title_end_free_trial|Toutes les bonnes choses ont une fin...
status.screen.subtitle_end_free_trial|Vous avez atteint la fin de votre période d'essai !
status.screen.first_description_end_free_trial|Vos 15 jours d'essai gratuit sur la plateforme Lengow sont maintenant terminés. Nous espérons qu'ils ont été bénéfiques à votre activité e-commerce.
status.screen.second_description_end_free_trial|Votre compte va être désactivé jusqu'à ce que vous souscriviez à un abonnement sur la plateforme Lengow. Toutes les diffusions en cours ainsi que les importations vont être momentanément stoppées.
status.screen.third_description_end_free_trial|Votre compte d'essai sera supprimé 30 jours après expiration. Pour conserver l'intégralité des paramètres que vous avez défini, pensez à souscrire dès maintenant !
status.screen.upgrade_account_button|Je suis prêt à souscrire !
status.screen.refresh_action|Actualiser mon compte
product.screen.nb_exported|produits exportés 
product.screen.nb_available|produits disponibles
product.screen.button_yes|Oui
product.screen.button_no|Non
product.screen.include_specific_product|Inclure une sélection de produits
product.screen.select_all_products|Sélectionnez l'ensemble de vos produits (%{nb} products)
product.screen.add_confirmation|Voulez-vous vraiment ajouter %{nb} produits dans votre sélection ?
product.screen.remove_confirmation|Voulez-vous vraiment supprimer %{nb} produits de votre sélection ?
product.screen.remove_from_export|Supprimer de mon export
product.screen.add_from_export|Inclure dans mon export
product.screen.include_specific_product_support|Utilisez cette option pour sélectionner vos produits individuellement
product.screen.no_product_selected|Sélectionnez un produit
product.screen.button_download|Télécharger
product.table.button_search|Rechercher
product.table.id_product|ID
product.table.image|Image
product.table.name|Nom
product.table.reference|UGS
product.table.stock|Stock
product.table.category_name|Catégorie
product.table.type|Type
product.table.price|Prix
product.table.lengow_status|Inclure dans l'export ?
product.table.edit|Modifier
product.table.publish_on_lengow|Inclure dans mon export
product.table.unpublish_on_lengow|Supprimer de l'export
product.table.in_stock|En stock
product.table.out_of_stock|Hors stock
product.table.type_downloadable|Téléchargeable
product.table.type_virtual|Virtuel
order.screen.button_reimport_order|Réimporter mes commandes
order.screen.mass_action_reimport_success|%{order_reimported} commande(s) sur %{order_total} ont été importée(s)
order.screen.mass_action_resend_success|%{order_resent} commande(s) sur %{order_total} ont été envoyée(s)
order.screen.button_resend_order|Renvoyer mes actions
order.screen.all_order_will_be_sent_to|Les rapports d'erreurs de vos commandes seront envoyés par email à
order.screen.no_order_will_be_sent|Les rapports d'erreurs de vos commandes ne seront pas envoyés par email
order.screen.change_this|Vous voulez modifier cela ?
order.screen.import_charge_first|Commande(s) en cours de récupération...
order.screen.import_charge_second|Restez avec nous, cela ne va pas durer longtemps (2 min d'attente en moyenne)
order.screen.order_with_error|Vous avez %{nb_order} commande(s) en erreur
order.screen.order_to_be_sent|Vous avez %{nb_order} commande(s) en attente d'expédition
order.screen.last_order_importation|Dernière synchronisation
order.screen.no_order_importation|Aucune synchronisation pour le moment
order.screen.button_update_orders|Synchroniser les commandes
order.screen.debug_warning_message|Vous êtes en Debug Mode. Vous pouvez importer vos commandes mais les interactions avec Lengow ne sont pas possibles. <a href=%{url}>Désactiver le Debug Mode ?</a>
order.screen.action_success|Succès
order.screen.action_error|Erreur
order.screen.status_not_synchronized|Non synchronisé
order.screen.status_accepted|Accepté
order.screen.status_waiting_shipment|En attente d'expédition
order.screen.status_shipped|Expédié
order.screen.status_closed|Fermé
order.screen.status_refunded|Remboursé
order.screen.status_canceled|Annulé
order.screen.type_express|Livraison Express
order.screen.type_delivered_by_marketplace|Expédié par la marketplace
order.screen.type_business|Business
order.screen.placeholder_action|Filtrer par état
order.screen.placeholder_order_status|Filtrer par statut
order.screen.placeholder_order_types|Filtrer par type
order.screen.placeholder_marketplace|Filtrer par marketplace
order.screen.placeholder_from|Du
order.screen.placeholder_to|Au
order.screen.filter_action|Filtrer
